,ACC,AUC,F1,GI,IBA,J,MCC,PPV,TNR,TPR
3c-duvallet-baxter-crc-v-h,0.75862,0.75735,0.78788,0.51471,0.58196,0.65,0.50973,0.8125,0.75,0.76471
3c-duvallet-baxter-crc-v-h,0.7,0.65278,0.52632,0.30556,0.19547,0.35714,0.35392,0.71429,0.88889,0.41667
3c-duvallet-baxter-crc-v-h,0.7,0.65278,0.78049,0.30556,0.54527,0.64,0.35392,0.69565,0.41667,0.88889
3c-duvallet-baxter-crc-v-h,0.76667,0.77778,0.74074,0.55556,0.66872,0.58824,0.54433,0.66667,0.72222,0.83333
3c-duvallet-baxter-crc-v-h,0.76667,0.77778,0.78788,0.55556,0.53498,0.65,0.54433,0.86667,0.83333,0.72222
3c-duvallet-baxter-crc-v-h,0.62069,0.6152,0.56,0.23039,0.3534,0.38889,0.22817,0.53846,0.64706,0.58333
3c-duvallet-baxter-crc-v-h,0.62069,0.6152,0.66667,0.23039,0.4015,0.5,0.22817,0.6875,0.58333,0.64706
3c-duvallet-baxter-crc-v-h,0.86207,0.84559,0.81818,0.69118,0.57093,0.69231,0.71619,0.9,0.94118,0.75
3c-duvallet-baxter-crc-v-h,0.86207,0.84559,0.88889,0.69118,0.84083,0.8,0.71619,0.84211,0.75,0.94118
3c-duvallet-baxter-crc-v-h,0.55172,0.56863,0.55172,0.13725,0.37524,0.38095,0.13725,0.47059,0.47059,0.66667
3c-duvallet-baxter-crc-v-h,0.55172,0.56863,0.55172,0.13725,0.25221,0.38095,0.13725,0.66667,0.66667,0.47059
3c-duvallet-baxter-crc-v-h,0.75862,0.75735,0.72,0.51471,0.5651,0.5625,0.50973,0.69231,0.76471,0.75
3c-duvallet-baxter-crc-v-h,0.75862,0.75735,0.78788,0.51471,0.58196,0.65,0.50973,0.8125,0.75,0.76471
3c-duvallet-baxter-crc-v-h,0.68966,0.69853,0.66667,0.39706,0.53525,0.5,0.39135,0.6,0.64706,0.75
3c-duvallet-baxter-crc-v-h,0.68966,0.69853,0.70968,0.39706,0.43534,0.55,0.39135,0.78571,0.75,0.64706
3c-duvallet-baxter-crc-v-h,0.58621,0.57353,0.5,0.14706,0.27595,0.33333,0.14706,0.5,0.64706,0.5
3c-duvallet-baxter-crc-v-h,0.58621,0.57353,0.64706,0.14706,0.37111,0.47826,0.14706,0.64706,0.5,0.64706
3c-duvallet-baxter-crc-v-h,0.7931,0.77451,0.72727,0.54902,0.46136,0.57143,0.56889,0.8,0.88235,0.66667
3c-duvallet-baxter-crc-v-h,0.7931,0.77451,0.83333,0.54902,0.71511,0.71429,0.56889,0.78947,0.66667,0.88235
3d-duvallet-baxter-crc-v-noncrc,0.65625,0.625,0.52174,0.25,0.28125,0.35294,0.25482,0.54545,0.75,0.5
3d-duvallet-baxter-crc-v-noncrc,0.65625,0.625,0.73171,0.25,0.46875,0.57692,0.25482,0.71429,0.5,0.75
3d-duvallet-baxter-crc-v-noncrc,0.8125,0.78333,0.72727,0.56667,0.46,0.57143,0.59186,0.8,0.9,0.66667
3d-duvallet-baxter-crc-v-noncrc,0.8125,0.78333,0.85714,0.56667,0.74,0.75,0.59186,0.81818,0.66667,0.9
3d-duvallet-baxter-crc-v-noncrc,0.84375,0.825,0.78261,0.65,0.57375,0.64286,0.66254,0.81818,0.9,0.75
3d-duvallet-baxter-crc-v-noncrc,0.84375,0.825,0.87805,0.65,0.77625,0.78261,0.66254,0.85714,0.75,0.9
3d-duvallet-baxter-crc-v-noncrc,0.75,0.73333,0.66667,0.46667,0.46222,0.5,0.46667,0.66667,0.8,0.66667
3d-duvallet-baxter-crc-v-noncrc,0.75,0.73333,0.8,0.46667,0.60444,0.66667,0.46667,0.8,0.66667,0.8
3d-duvallet-baxter-crc-v-noncrc,0.6129,0.59211,0.5,0.18421,0.27909,0.33333,0.18421,0.5,0.68421,0.5
3d-duvallet-baxter-crc-v-noncrc,0.6129,0.59211,0.68421,0.18421,0.40512,0.52,0.18421,0.68421,0.5,0.68421
3d-duvallet-baxter-crc-v-noncrc,0.78125,0.75833,0.69565,0.51667,0.46278,0.53333,0.52664,0.72727,0.85,0.66667
3d-duvallet-baxter-crc-v-noncrc,0.78125,0.75833,0.82927,0.51667,0.67056,0.70833,0.52664,0.80952,0.66667,0.85
3d-duvallet-baxter-crc-v-noncrc,0.625,0.6,0.5,0.2,0.28,0.33333,0.2,0.5,0.7,0.5
3d-duvallet-baxter-crc-v-noncrc,0.625,0.6,0.7,0.2,0.42,0.53846,0.2,0.7,0.5,0.7
3d-duvallet-baxter-crc-v-noncrc,0.74194,0.71272,0.63636,0.42544,0.36411,0.46667,0.4433,0.7,0.84211,0.58333
3d-duvallet-baxter-crc-v-noncrc,0.74194,0.71272,0.8,0.42544,0.61834,0.66667,0.4433,0.7619,0.58333,0.84211
3d-duvallet-baxter-crc-v-noncrc,0.71875,0.70833,0.64,0.41667,0.45833,0.47059,0.41072,0.61538,0.75,0.66667
3d-duvallet-baxter-crc-v-noncrc,0.71875,0.70833,0.76923,0.41667,0.54167,0.625,0.41072,0.78947,0.66667,0.75
3d-duvallet-baxter-crc-v-noncrc,0.71875,0.725,0.66667,0.45,0.55125,0.5,0.43656,0.6,0.7,0.75
3d-duvallet-baxter-crc-v-noncrc,0.71875,0.725,0.75676,0.45,0.49875,0.6087,0.43656,0.82353,0.75,0.7
