"","818__1308_47678","853__39485","1735__88431_411489","28116__204516","40545__33039_360807","100886__165179_310298","674529__218538_410072","823__39483","28111__208479","46228__821_46506","166486__261299","39777__357276","1308__47678","1681__74426_487173","301301__820_29466","39496__28118_39486","1623__40520_329854","338188__562_39491","1304__239935","165179__310298","1318__387090","33039__360807","88431__411489","658082__39488_751585","1502__214856","817__39492","150055__216816_487174","218538__410072","729__46503","1531__40518_658081","820__29466","821__46506","562__39491","74426__487173","40520__329854","39488__751585","29361__33038_246787","28118__39486","291644__28117_457412","216816__487174","328814__1680_45851","40518__658081","33038__246787","28117__457412","1680__45851"
"ERR209089",0,4.41341244187459,0,0,0,0,0,0,0,0,0,-4.87392782331765,0,0,0,-2.35891026927106,0,0,-4.50653580256838,0,0,0,0,0,0,0,-2.54314574578018,0,0,-2.89175423852462,0,0,0,0,0,0,-3.17847066213296,4.08575243687345,2.79296195455185,-4.40485764274392,0,5.00866526412729,-5.50527267718138,4.62470229261703,0
"ERR209090",0,4.50407532145346,0,0,0,0,0,0,0,0,0,-4.72373192730526,0,0,0,-2.35223450156225,0,0,-4.74238558631511,0,0,0,0,0,0,0,-2.57067210298788,0,0,-2.89069956660173,0,0,0,0,0,0,-3.07399065059052,4.07418966802227,2.49565863982733,-4.45253469197493,0,5.00683851877152,-5.32430798881449,4.73523676767281,0
"ERR209091",0,4.48662134186319,0,0,0,0,0,0,0,0,0,-4.6949386745836,0,0,0,-2.3757595918406,0,0,-4.72917718578937,0,0,0,0,0,0,0,-2.56014829800655,0,0,-2.89129503404694,0,0,0,0,0,0,-3.07863762008053,4.11493631963702,2.54123389373642,-4.43430692705834,0,5.00786989864088,-5.33235677607242,4.71178546908141,0
"ERR209094",0,4.88272544921167,0,0,0,0,0,0,4.56258865270381,0,0,0,0,0,-2.58233253824461,0,0,-3.27921570434451,0,0,-4.26562348160637,0,0,0,0,0,-2.61757903474675,0,0,0,4.47273115827797,0,5.67976820890245,0,0,0,-2.5543436059928,0,-2.89550286435827,-4.53377988100847,0,0,4.42425290556823,5.01515807452974,0
"ERR209095",0,4.7407264700288,0,0,0,0,0,0,4.64155742538422,0,0,0,0,0,-2.65914954443272,0,0,-3.29149172204795,0,0,-4.35171742738689,0,0,0,0,0,-2.6543295027499,0,0,0,4.6057821158811,0,5.70103089527943,0,0,0,-2.6238965014757,0,-2.85509879124909,-4.59743355879186,0,0,4.54472205435814,4.94517616707191,0
"ERR209096",4.78000107992431,4.26451590053075,0,0,0,0,0,0,4.48399271042775,0,0,0,0,0,-2.60121998268148,0,0,-3.36690834078021,0,0,0,0,0,0,0,0,-2.62054679599966,0,0,-2.54524432617829,4.50544517166776,0,5.83165631065875,0,0,0,-2.8035302157984,0,-2.48039155660526,-4.53892019428324,0,4.40849249061721,4.85585677431737,4.29616419870517,0
"ERR209099",0,0,0,0,0,0,0,0,0,-3.27065734522205,0,0,0,0,-2.80551180298313,0,0,0,0,0,0,0,0,0,0,-4.69455789975235,-2.67329211068335,0,0,0,4.85928898400095,5.66494469607293,0,0,0,0,-2.5459179862612,0,2.61740338252427,-4.63027775917661,0,0,-4.40965930410784,4.77681472655907,0
"ERR209100",0,0,0,0,0,0,0,0,0,-3.30336268171893,0,0,0,0,-2.85417956960114,0,0,0,0,0,0,0,0,0,0,-4.57698553192922,-2.64989561892843,0,0,0,4.94358402847425,5.72159200056416,0,0,0,0,-2.59745770261149,0,2.91669423067159,-4.58975384673821,0,0,-4.49892871143423,4.44651866654931,0
"ERR209101",0,0,0,0,0,0,0,0,0,-3.27521417427855,0,0,0,0,-2.82537996778823,0,0,0,0,0,0,0,0,0,0,-4.42607874100851,-2.64855368468064,0,0,-2.6525511797067,4.89370165489652,5.6728373555202,0,0,0,0,-2.62137988559985,0,5.55578842619025,-4.58742954844062,0,4.59435341292876,-4.54036314779803,0,0
"ERR209108",0,4.35198036783882,0,4.80118638125543,0,0,-2.76868435985606,5.00039363944041,0,0,0,-6.09192027399434,0,0,-2.58103156386883,0,0,0,0,0,0,0,0,0,0,0,0,4.79550198139201,-4.83593306573784,0,4.47047780455978,0,0,0,0,0,0,0,-2.52993768454777,0,0,0,0,4.38198060961991,0
"ERR209109",0,0,0,4.8995349626978,0,0,-2.76403775262313,4.9494483806823,0,0,0,-6.08969544840987,0,0,-2.56070060530087,0,0,0,0,0,0,0,0,0,0,0,0,4.78745382158175,-4.92434357240404,-2.35878533599116,4.43526355135348,0,0,0,0,0,0,0,0,0,0,4.08553604608511,0,0,0
"ERR209110",0,-0.954283695707433,0,0,2.58191168815336,0,-2.8262481167784,0,0,1.8212894442443,0,0,0,0,0,0,0,0,0,0,0,-4.12994774422912,0,0,0,0,0,4.89520533305604,0,0,0,5.12508176217837,0,0,0,0,-2.65752361657831,0,0,0,0,0,-4.60296592622782,0,0
"ERR209111",0,-5.55829831455885,0,0,-2.51891571087042,0,-2.69998564478405,0,0,1.90841150396628,0,0,0,0,0,-2.49093875030866,0,-2.55770735498341,0,0,0,-4.36288999121104,0,0,0,0,-2.57813060668827,4.67651231647259,0,0,0,5.43884065559081,-4.43007908972388,0,0,0,-2.75355621892583,4.31443247407673,0,-4.46545319933245,0,0,-4.76929927267679,0,0
"ERR209116",0,4.42556726886867,0,0,0,0,0,4.01475015424646,0,0,0,0,0,0,-3.33816296322622,0,0,0,0,0,0,0,0,0,0,-4.6035904582534,-2.6521223695391,0,0,-2.35783968066822,5.78186785625249,0,0,0,0,0,-3.39546823831445,0,-2.77737322822714,-4.59361069193168,0,4.08389812301933,-5.88112350424701,4.810551542871,0
